Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",156147,5.0,B&S Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",156147,6.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156148,5.3,E&M Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,business and science - business innovation,"personal expense, name withheld",156149,20.95,Public Weather Service: Contract-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,business and science - business innovation,"personal expense, name withheld",156149,12.0,Public Weather Service: Contract-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,"people, strategy and higher education - ministerial and parliamentary support team","personal expense, name withheld",156150,4.55,MPST Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,"people, strategy and higher education - ministerial and parliamentary support team","personal expense, name withheld",156151,5.0,MPST Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,"people, strategy and higher education - ministerial and parliamentary support team","personal expense, name withheld",156152,8.2,MPST Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,mileage allowance uk,legal services - legal services,"personal expense, name withheld",156155,209.7,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,legal services - legal services,"personal expense, name withheld",156155,14.4,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,legal services - legal services,"personal expense, name withheld",156155,20.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,legal services - legal services,"personal expense, name withheld",156155,43.33,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156156,31.5,RD: Strategic Regulation-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156156,26.5,RD: Strategic Regulation-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156156,99.3,RD: Strategic Regulation-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156156,15.0,RD: Strategic Regulation-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156156,49.53,RD: Strategic Regulation-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156156,24.7,RD: Strategic Regulation-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156157,12.28,E&M Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156157,8.24,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
